City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
152,Inirida,CO,2019-11-10 06:35:17,3.87,-67.92,73.17,93,42,1.81,scattered clouds,0.0,0.0
153,Pemba,MZ,2019-11-10 06:35:17,-12.97,40.52,80.6,94,75,3.36,broken clouds,0.0,0.0
154,Okha,RU,2019-11-10 06:35:17,53.59,142.95,24.58,73,100,16.22,light snow,0.0,0.13
155,Yining,CN,2019-11-10 06:35:17,29.04,114.56,72.84,34,90,6.78,overcast clouds,0.0,0.0
156,Bekhtery,UA,2019-11-10 06:35:17,46.25,32.3,51.01,100,90,15.66,mist,0.0,0.0
157,Kamaishi,JP,2019-11-10 06:35:17,39.28,141.86,50.0,53,40,8.05,scattered clouds,0.0,0.0
158,Hambantota,LK,2019-11-10 06:35:18,6.12,81.12,82.4,94,75,3.36,broken clouds,0.0,0.0
159,Kavaratti,IN,2019-11-10 06:35:18,10.57,72.64,86.0,70,20,6.93,few clouds,0.0,0.0
160,Kaitangata,NZ,2019-11-10 06:35:18,-46.28,169.85,50.0,74,80,7.0,broken clouds,0.0,0.0
161,Manitouwadge,CA,2019-11-10 06:35:18,49.12,-85.84,20.5,86,100,4.45,light snow,0.0,0.19
162,Constitucion,MX,2019-11-10 06:35:19,23.99,-104.67,59.65,77,91,3.22,light rain,0.13,0.0
163,Deputatskiy,RU,2019-11-10 06:35:19,69.3,139.9,-14.97,100,99,1.74,overcast clouds,0.0,0.0
164,Nikolskoye,RU,2019-11-10 06:35:19,59.7,30.79,44.6,93,75,11.18,light rain,0.0,0.0
165,Ocotal,NI,2019-11-10 06:35:19,13.63,-86.48,65.08,98,87,2.86,overcast clouds,0.0,0.0
166,Lagoa,PT,2019-11-10 06:35:20,37.14,-8.45,57.2,71,100,10.29,overcast clouds,0.0,0.0
167,Togitsu,JP,2019-11-10 06:35:20,32.83,129.83,68.0,52,75,4.7,broken clouds,0.0,0.0
168,Padang,ID,2019-11-10 06:35:20,-0.92,100.36,74.8,89,78,3.96,light rain,2.0,0.0
169,Clovis,US,2019-11-10 06:35:21,36.83,-119.7,60.01,66,1,4.79,clear sky,0.0,0.0
170,Margate,AU,2019-11-10 06:31:05,-43.03,147.26,60.8,44,75,12.75,broken clouds,0.0,0.0
171,Folldal,NO,2019-11-10 06:35:21,62.14,10.0,7.27,97,99,1.01,light snow,0.0,0.19
172,Emba,CY,2019-11-10 06:35:21,34.81,32.42,73.4,33,0,4.7,clear sky,0.0,0.0
173,Erdenet,MN,2019-11-10 06:35:22,49.03,104.04,31.1,27,58,13.33,broken clouds,0.0,0.0
174,Aksarka,RU,2019-11-10 06:35:22,66.56,67.8,-4.08,98,72,3.67,broken clouds,0.0,0.0
175,Lakselv,NO,2019-11-10 06:35:22,70.05,24.96,-0.41,84,0,6.93,clear sky,0.0,0.0
176,Port Hawkesbury,CA,2019-11-10 06:35:22,45.62,-61.36,34.0,85,1,3.36,clear sky,0.0,0.0
177,Cam Ranh,VN,2019-11-10 06:35:23,11.92,109.15,73.4,94,90,8.05,moderate rain,0.0,0.0
178,Khangah Dogran,PK,2019-11-10 06:35:23,31.83,73.62,77.47,22,0,3.22,clear sky,0.0,0.0
179,Chai Badan,TH,2019-11-10 06:35:23,15.2,101.13,82.42,59,29,9.37,scattered clouds,0.0,0.0
180,Qasigiannguit,GL,2019-11-10 06:35:23,68.82,-51.19,37.4,32,80,20.8,broken clouds,0.0,0.0
181,Saldanha,PT,2019-11-10 06:35:24,41.42,-6.55,40.68,85,100,11.18,overcast clouds,0.0,0.0
182,Norman Wells,CA,2019-11-10 06:35:24,65.28,-126.83,-5.81,76,5,4.7,clear sky,0.0,0.0
183,Trelew,AR,2019-11-10 06:35:11,-43.25,-65.31,44.42,82,68,9.31,broken clouds,0.0,0.0
184,Khatanga,RU,2019-11-10 06:35:24,71.98,102.47,-1.36,96,100,15.84,light snow,0.0,0.63
185,Waddan,LY,2019-11-10 06:35:24,29.16,16.14,63.14,73,100,9.69,overcast clouds,0.0,0.0
186,Geraldton,CA,2019-11-10 06:35:24,49.72,-86.95,14.0,85,90,3.36,light snow,0.0,0.0
187,Davila,PH,2019-11-10 06:35:25,18.47,120.58,82.4,78,90,10.29,overcast clouds,0.0,0.0
188,Chuy,UY,2019-11-10 06:35:25,-33.69,-53.46,61.0,85,23,8.59,few clouds,0.0,0.0
189,Mahajanga,MG,2019-11-10 06:35:25,-15.72,46.32,84.2,74,40,4.7,scattered clouds,0.0,0.0
190,Alyangula,AU,2019-11-10 06:35:25,-13.85,136.42,95.0,23,19,12.75,few clouds,0.0,0.0
191,Pevek,RU,2019-11-10 06:35:25,69.7,170.27,6.44,67,0,2.68,clear sky,0.0,0.0
192,Hanyang,CN,2019-11-10 06:35:26,32.14,105.51,68.0,50,30,4.41,scattered clouds,0.0,0.0
193,Matola,MZ,2019-11-10 06:35:26,-25.97,32.47,73.0,78,75,3.36,broken clouds,0.0,0.0
194,Barentu,ER,2019-11-10 06:35:27,15.11,37.59,81.82,39,0,2.66,clear sky,0.0,0.0
195,Nishihara,JP,2019-11-10 06:35:27,35.74,139.53,68.0,45,20,2.24,few clouds,0.0,0.0
196,Palmer,AU,2019-11-10 06:35:27,-34.85,139.16,75.99,40,0,8.05,clear sky,0.0,0.0
197,Goderich,CA,2019-11-10 06:35:27,43.74,-81.71,42.01,80,83,11.99,broken clouds,0.0,0.0
198,Faya,SA,2019-11-10 06:35:27,18.39,42.45,62.6,58,0,4.7,clear sky,0.0,0.0
199,Yandyki,RU,2019-11-10 06:35:27,45.77,47.13,55.62,60,91,13.82,overcast clouds,0.0,0.0
200,Leninsk-Kuznetskiy,RU,2019-11-10 06:35:28,54.66,86.17,8.6,78,24,6.71,few clouds,0.0,0.0
201,Port Elizabeth,US,2019-11-10 06:35:28,39.31,-74.98,37.0,85,1,4.63,clear sky,0.0,0.0
202,Piacabucu,BR,2019-11-10 06:35:33,-10.41,-36.43,76.64,79,78,9.62,light rain,0.13,0.0
203,Cabo San Lucas,MX,2019-11-10 06:31:02,22.89,-109.91,80.01,60,20,5.82,few clouds,0.0,0.0
204,Tiksi,RU,2019-11-10 06:35:33,71.64,128.87,-16.69,99,79,3.04,broken clouds,0.0,0.0
205,Husavik,CA,2019-11-10 06:35:34,50.56,-96.99,12.0,80,61,5.99,broken clouds,0.0,0.0
206,Sala Consilina,IT,2019-11-10 06:35:34,40.4,15.6,45.03,94,72,5.01,light rain,0.44,0.0
207,Leh,IN,2019-11-10 06:35:34,34.16,77.58,21.92,19,0,1.9,clear sky,0.0,0.0
208,Airai,TL,2019-11-10 06:35:34,-8.93,125.41,84.22,39,80,8.93,broken clouds,0.0,0.0
209,Anadyr,RU,2019-11-10 06:35:34,64.73,177.51,28.4,92,90,4.47,light snow,0.0,0.0
210,Makakilo City,US,2019-11-10 06:35:35,21.35,-158.09,78.8,83,1,1.23,clear sky,0.0,0.0
211,Atherton,AU,2019-11-10 06:33:27,-17.27,145.48,88.0,51,0,12.75,clear sky,0.0,0.0
212,Gilbues,BR,2019-11-10 06:35:35,-9.83,-45.34,74.01,75,84,0.63,broken clouds,0.0,0.0
213,Lorengau,PG,2019-11-10 06:35:35,-2.02,147.27,81.01,81,100,18.81,moderate rain,5.94,0.0
214,Flin Flon,CA,2019-11-10 06:35:36,54.77,-101.88,3.18,82,5,7.36,clear sky,0.0,0.0
215,Hobyo,SO,2019-11-10 06:35:36,5.35,48.53,83.03,60,8,13.71,clear sky,0.0,0.0
216,Charters Towers,AU,2019-11-10 06:35:36,-20.07,146.27,94.19,16,16,15.93,few clouds,0.0,0.0
217,Cidreira,BR,2019-11-10 06:35:36,-30.17,-50.22,70.45,91,99,17.72,light rain,2.5,0.0
218,Nhulunbuy,AU,2019-11-10 06:35:37,-12.18,136.78,89.6,46,27,13.87,scattered clouds,0.0,0.0
219,Port-Gentil,GA,2019-11-10 06:35:37,-0.72,8.78,77.0,94,75,3.36,broken clouds,0.0,0.0
220,Pitimbu,BR,2019-11-10 06:35:37,-7.47,-34.81,75.2,88,20,5.82,few clouds,0.0,0.0
221,Mount Isa,AU,2019-11-10 06:35:37,-20.73,139.49,93.2,7,67,8.05,broken clouds,0.0,0.0
222,Shingu,JP,2019-11-10 06:35:37,33.72,135.99,66.2,52,75,9.17,broken clouds,0.0,0.0
223,Codrington,AU,2019-11-10 06:35:38,-28.95,153.24,75.2,33,90,11.41,overcast clouds,0.0,0.0
224,Jiaocheng,CN,2019-11-10 06:35:38,24.68,116.14,80.94,26,28,4.18,scattered clouds,0.0,0.0
225,Xuanwu,CN,2019-11-10 06:35:38,32.07,118.81,75.0,25,0,13.42,clear sky,0.0,0.0
226,San Andres,PH,2019-11-10 06:35:38,13.32,122.68,81.84,84,73,5.97,moderate rain,7.38,0.0
227,Shuiji,CN,2019-11-10 06:35:38,27.42,118.34,71.56,34,47,2.59,scattered clouds,0.0,0.0
228,Kamyshevatskaya,RU,2019-11-10 06:35:39,46.41,37.96,50.05,85,0,12.57,clear sky,0.0,0.0
229,Barra Do Garcas,BR,2019-11-10 06:35:39,-15.89,-52.26,71.22,90,39,2.15,scattered clouds,0.0,0.0
230,Vostok,RU,2019-11-10 06:35:40,46.45,135.83,30.9,57,20,4.21,few clouds,0.0,0.0
231,Dumas,IN,2019-11-10 06:35:40,21.09,72.71,89.6,66,40,3.36,haze,0.0,0.0
